customer_binary,user_binary,device,os,browser,weekday,hour,product_views_hour,cart_views_hour,purchase_views_hour,page_views_hour,product_views_journey,cart_views_journey,purchase_views_journey,page_views_journey
Vfb5r+7yXk68byerajScsQ==,gKZ85aHIp0mwyXT6ZDQIDQ==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
j2Z1d/CPMkuLWpYXL5H6Fg==,i6naxwaziUm0vT8xrVU/+A==,40.0,0.0,1.0,1,22,1,1,0,2,2,2,2,2
j2Z1d/CPMkuLWpYXL5H6Fg==,i6naxwaziUm0vT8xrVU/+A==,40.0,0.0,1.0,1,22,1,1,0,2,2,2,2,2
z6qHyTx3M0GmcKYDKB8Avg==,9PR+1+sQmUOLI2b4tn4cBA==,0.0,5.0,0.0,1,22,2,0,0,2,2,2,2,2
z6qHyTx3M0GmcKYDKB8Avg==,9PR+1+sQmUOLI2b4tn4cBA==,0.0,5.0,0.0,1,22,2,0,0,2,2,2,2,2
Fr9oWfIRPk6Tn0F12240tw==,L4dRLO6IAkyl9iPwV/YxDw==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
Fr9oWfIRPk6Tn0F12240tw==,L4dRLO6IAkyl9iPwV/YxDw==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
VCkXEQJxMEaCOzfgHgncSQ==,lyc/6s91MEm6Dxd1O5h8wQ==,65.0,0.0,1.0,1,22,1,0,0,1,1,1,1,1
lKoFpuHAH06xje2KqaS8Fw==,yJR9KmVn8EKgHROgjiW8NA==,0.0,2.0,0.0,1,22,3,0,0,3,3,3,3,3
lKoFpuHAH06xje2KqaS8Fw==,yJR9KmVn8EKgHROgjiW8NA==,0.0,2.0,0.0,1,22,3,0,0,3,3,3,3,3
lKoFpuHAH06xje2KqaS8Fw==,yJR9KmVn8EKgHROgjiW8NA==,0.0,2.0,0.0,1,22,3,0,0,3,3,3,3,3
MWY5bBVHEEOWUfnTwFnnHQ==,GVbnZSUu20GstSvWAn/Urw==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
MWY5bBVHEEOWUfnTwFnnHQ==,GVbnZSUu20GstSvWAn/Urw==,0.0,1.0,0.0,1,22,2,0,0,2,2,2,2,2
kp2ev3khwEeVqZ7qW0pJug==,gxEiDLQd6ECljilmGC7b4w==,0.0,5.0,0.0,1,22,1,0,0,1,1,1,1,1
isw9x3gmOku+edNqJ3vyaQ==,1pLxMOw/GEC5nO2QZ6DugA==,0.0,2.0,0.0,1,22,1,1,0,2,2,2,2,2
isw9x3gmOku+edNqJ3vyaQ==,1pLxMOw/GEC5nO2QZ6DugA==,0.0,2.0,0.0,1,22,1,1,0,2,2,2,2,2
M1+3xXFmE0q6b+9HVdxQ1w==,3yylA7d/fUulcZTibw61TQ==,0.0,2.0,0.0,1,22,8,0,0,8,8,8,8,8
M1+3xXFmE0q6b+9HVdxQ1w==,3yylA7d/fUulcZTibw61TQ==,0.0,2.0,0.0,1,22,8,0,0,8,8,8,8,8
M1+3xXFmE0q6b+9HVdxQ1w==,3yylA7d/fUulcZTibw61TQ==,0.0,2.0,0.0,1,22,8,0,0,8,8,8,8,8
